iter	RMSE
0	9.612277013
1	8.844669574
2	8.150067492
3	7.543961763
4	7.012950876
5	6.560751846
6	6.161154506
7	5.822362147
8	5.499295521
9	5.223481194
10	4.98748048
11	4.773046158
12	4.574150647
13	4.417123881
14	4.277687714
15	4.152901767
16	4.022726567
17	3.921257
18	3.83287697
19	3.748791129
20	3.686904432
21	3.618337262
22	3.567077638
23	3.513828765
24	3.472077965
25	3.430667052
26	3.384623254
27	3.334210327
28	3.299564063
29	3.252169554
30	3.22057488
31	3.203193475
32	3.176163798
33	3.160237111
34	3.141902954
35	3.129361842
36	3.115257822
37	3.090992652
38	3.080202093
39	3.057115014
40	3.040412602
41	3.026414017
42	3.009163118
43	2.999445619
44	2.987159931
45	2.965310338
46	2.950515225
47	2.934550831
48	2.921640591
49	2.909431978
50	2.902686662
51	2.892523151
52	2.863843872
53	2.848218801
54	2.840619548
55	2.826998539
56	2.805252512
57	2.797469964
58	2.785675279
59	2.778602097
60	2.764874501
61	2.737767735
62	2.725535262
63	2.712037003
64	2.693673348
65	2.684354239
66	2.668664958
67	2.662675767
68	2.650113163
69	2.636214467
70	2.629478901
71	2.623609424
72	2.615527214
73	2.592037418
74	2.585529259
75	2.573095257
76	2.558811901
77	2.547022633
78	2.52803734
79	2.522011632
80	2.516623812
81	2.502487262
82	2.492500723
83	2.482308375
84	2.477562328
85	2.466263954
86	2.462323871
87	2.455604091
88	2.450829223
89	2.442819327
90	2.438406836
91	2.427604253
92	2.420016649
93	2.407528444
94	2.398539538
95	2.38722912
96	2.382671373
97	2.364882255
98	2.360030738
99	2.350117032
100	2.347250301
101	2.334045165
102	2.326751034
103	2.315937915
104	2.304502335
105	2.294728566
106	2.289383824
107	2.280175328
108	2.275216421
109	2.268185833
110	2.261450903
111	2.2546884
112	2.246315002
113	2.232635199
114	2.222609119
115	2.211471558
116	2.205614834
117	2.200875073
118	2.187774073
119	2.179931125
120	2.174479107
121	2.168210092
122	2.163661256
123	2.159169596
124	2.153773382
125	2.14848919
126	2.1406163
127	2.133623234
128	2.123578935
129	2.11649707
130	2.114370353
131	2.112578404
132	2.100936381
133	2.09503333
134	2.090212158
135	2.085072457
136	2.082111426
137	2.071954942
138	2.06354238
139	2.061989905
140	2.05773101
141	2.055413855
142	2.048874436
143	2.043330956
144	2.032623634
145	2.025364329
146	2.021404543
147	2.013499108
148	1.999465305
149	1.995670388
150	1.990607253
151	1.984310093
152	1.976993098
153	1.970836242
154	1.968107373
155	1.956624016
156	1.953660551
157	1.949452467
158	1.946424887
159	1.9413197
160	1.937864247
161	1.932376668
162	1.927784435
163	1.92499508
164	1.920460515
165	1.913713295
166	1.911788203
167	1.907400013
168	1.903546055
169	1.898544902
170	1.896708649
171	1.892922174
172	1.888096601
173	1.884902255
174	1.879859779
175	1.877204861
176	1.871806778
177	1.86815244
178	1.864543114
179	1.86198687
180	1.855264578
181	1.853925236
182	1.852405848
183	1.84746548
184	1.839220701
185	1.834765651
186	1.831886238
187	1.827123574
188	1.821434476
189	1.81790497
190	1.812875014
191	1.807649097
192	1.806059854
193	1.802832548
194	1.800424656
195	1.793823201
196	1.791054733
197	1.789584486
198	1.786888042
199	1.784642186
200	1.781763265
201	1.779263972
202	1.773667078
203	1.768773096
204	1.763255414
205	1.760025156
206	1.757521144
207	1.755953814
208	1.754006192
209	1.753017229
210	1.75055202
211	1.748386531
212	1.745127699
213	1.742947371
214	1.738456275
215	1.736567365
216	1.734057071
217	1.732990477
218	1.729203357
219	1.727104492
220	1.725985774
221	1.720736191
222	1.71782703
223	1.711951526
224	1.709544677
225	1.706325599
226	1.704737774
227	1.703477967
228	1.701485287
229	1.699285708
230	1.693531307
231	1.690886997
232	1.688113151
233	1.685924263
234	1.682819424
235	1.679005139
236	1.67387896
237	1.670807274
238	1.66857484
239	1.664926059
240	1.663209001
241	1.661193488
242	1.659310008
243	1.656438318
244	1.654998839
245	1.652344497
246	1.648591548
247	1.646999342
248	1.644583029
249	1.643235306
250	1.641341245
251	1.637618161
252	1.635054832
253	1.63398735
254	1.629958722
255	1.628586666
256	1.626216952
257	1.625582769
258	1.623153374
259	1.621660985
260	1.618663998
261	1.614776735
262	1.612454662
263	1.608829456
264	1.607946597
265	1.603330629
266	1.598708523
267	1.596442524
268	1.595652166
269	1.592659579
270	1.589840721
271	1.58568865
272	1.584188948
273	1.58219669
274	1.578725075
275	1.576301447
276	1.574196899
277	1.569333533
278	1.565429323
279	1.562345427
280	1.560896589
281	1.560083043
282	1.558748397
283	1.557062532
284	1.555420898
285	1.554473661
286	1.552544932
287	1.550626847
288	1.547986913
289	1.545903213
290	1.544024818
291	1.541846042
292	1.538848151
293	1.536427119
294	1.532150497
295	1.530868986
296	1.526152782
297	1.521568042
298	1.519213017
299	1.517346073
