iter	Passed	Remaining
0	3	1011
1	5	873
2	7	758
3	9	710
4	11	676
5	13	657
6	15	632
7	16	613
8	18	594
9	20	582
10	21	569
11	23	559
12	25	553
13	26	546
14	28	544
15	30	542
16	32	538
17	34	533
18	35	530
19	37	526
20	39	523
21	41	520
22	42	515
23	44	511
24	46	507
25	47	504
26	49	501
27	51	500
28	53	497
29	54	494
30	56	492
31	58	490
32	60	487
33	61	484
34	63	480
35	65	477
36	66	475
37	68	472
38	70	471
39	72	468
40	73	465
41	75	462
42	76	459
43	78	458
44	80	456
45	82	454
46	84	452
47	86	451
48	87	450
49	89	447
50	91	444
51	92	442
52	94	440
53	96	437
54	97	435
55	99	433
56	101	431
57	102	429
58	104	427
59	106	424
60	107	422
61	109	420
62	111	418
63	113	417
64	114	414
65	116	412
66	118	411
67	120	410
68	122	408
69	123	407
70	125	405
71	127	402
72	128	400
73	130	398
74	132	396
75	133	394
76	135	392
77	137	390
78	138	388
79	140	386
80	142	384
81	143	382
82	145	380
83	147	378
84	149	376
85	150	375
86	152	373
87	154	371
88	155	369
89	157	367
90	159	365
91	161	364
92	162	361
93	164	360
94	166	358
95	167	356
96	169	355
97	171	354
98	173	352
99	175	350
100	176	348
101	178	346
102	180	344
103	181	342
104	183	340
105	185	339
106	187	337
107	188	335
108	190	333
109	192	331
110	193	329
111	195	328
112	197	326
113	198	324
114	200	322
115	202	320
116	204	319
117	205	317
118	207	315
119	209	314
120	211	312
121	212	310
122	214	308
123	216	306
124	218	305
125	219	303
126	221	301
127	223	299
128	224	298
129	226	296
130	228	294
131	230	292
132	231	291
133	233	289
134	236	289
135	239	288
136	242	287
137	244	287
138	247	286
139	250	285
140	252	285
141	255	284
142	258	283
143	261	282
144	263	281
145	266	281
146	269	280
147	271	279
148	273	276
149	275	275
150	276	273
151	278	271
152	280	269
153	281	267
154	283	265
155	285	263
156	286	261
157	288	259
158	290	257
159	291	255
160	293	253
161	295	251
162	297	249
163	298	247
164	300	246
165	302	244
166	304	242
167	305	240
168	307	238
169	309	236
170	310	234
171	312	232
172	314	230
173	315	228
174	317	226
175	319	225
176	321	223
177	322	221
178	324	219
179	326	217
180	328	216
181	330	214
182	331	212
183	333	210
184	335	208
185	337	206
186	339	204
187	341	203
188	342	201
189	344	199
190	346	197
191	347	195
192	349	193
193	351	191
194	352	190
195	354	188
196	356	186
197	358	184
198	359	182
199	361	180
200	363	178
201	364	177
202	366	175
203	368	173
204	370	171
205	372	169
206	373	167
207	375	166
208	376	164
209	378	162
210	380	160
211	382	158
212	383	156
213	385	154
214	387	153
215	388	151
216	390	149
217	392	147
218	393	145
219	395	143
220	396	141
221	398	140
222	400	138
223	402	136
224	403	134
225	405	132
226	407	130
227	408	129
228	410	127
229	412	125
230	414	123
231	416	121
232	417	120
233	419	118
234	421	116
235	422	114
236	424	112
237	426	111
238	427	109
239	429	107
240	431	105
241	432	103
242	434	101
243	436	100
244	437	98
245	439	96
246	441	94
247	443	92
248	444	91
249	446	89
250	448	87
251	450	85
252	451	83
253	453	82
254	454	80
255	456	78
256	458	76
257	459	74
258	461	73
259	463	71
260	465	69
261	466	67
262	468	65
263	470	64
264	472	62
265	474	60
266	475	58
267	477	57
268	479	55
269	481	53
270	482	51
271	484	49
272	486	48
273	487	46
274	489	44
275	491	42
276	493	40
277	494	39
278	496	37
279	498	35
280	499	33
281	501	32
282	503	30
283	504	28
284	506	26
285	508	24
286	509	23
287	511	21
288	513	19
289	514	17
290	516	15
291	518	14
292	520	12
293	521	10
294	523	8
295	525	7
296	526	5
297	528	3
298	530	1
299	532	0
